from;to;score;Delta;Sex;Percentile_W_Respect_To_Sex
;;;;;
1;11098;800;11098;0;99
11099;16668;800;5570;1;99
16669;19231;790;2563;0;98
19232;21049;790;1818;1;99
21050;23722;780;2673;0;98
23723;25031;780;1309;1;99
25032;35465;770;10434;0;97
35466;41291;770;5826;1;98
41292;43295;760;2004;0;96
43296;44543;760;1248;1;98
44544;52698;750;8155;0;95
52699;57137;750;4439;1;98
57138;63396;740;6259;0;95
63397;67486;740;4090;1;97
67487;73771;730;6285;0;94
73772;77709;730;3938;1;97
77710;86097;720;8388;0;93
86098;91383;720;5286;1;96
91384;97609;710;6226;0;92
97610;101881;710;4272;1;96
101882;113225;700;11344;0;91
113226;121057;700;7832;1;95
121058;133680;690;12623;0;89
133681;142441;690;8761;1;94
142442;155499;680;13058;0;87
155500;164872;680;9373;1;93
164873;179837;670;14965;0;85
179838;190808;670;10971;1;92
190809;205796;660;14988;0;84
205797;217475;660;11679;1;90
217476;232315;650;14840;0;82
232316;244297;650;11982;1;89
244298;260171;640;15874;0;80
260172;273272;640;13101;1;88
273273;293347;630;20075;0;77
293348;310885;630;17538;1;86
310886;329234;620;18349;0;75
329235;345588;620;16354;1;84
345589;365849;610;20261;0;72
365850;384035;610;18186;1;82
384036;402768;600;18733;0;70
402769;420594;600;17826;1;80
420595;438321;590;17727;0;68
438322;455362;590;17041;1;78
455363;476938;580;21576;0;65
476939;498682;580;21744;1;76
498683;517018;570;18336;0;63
517019;536206;570;19188;1;74
536207;560355;560;24149;0;60
560356;585130;560;24775;1;71
585131;612244;550;27114;0;56
612245;643133;550;30889;1;67
643134;665519;540;22386;0;53
665520;689823;540;24304;1;65
689824;712993;530;23170;0;50
712994;739528;530;26535;1;62
739529;763912;520;24384;0;47
763913;791995;520;28083;1;59
791996;817708;510;25713;0;44
817709;849906;510;32198;1;55
849907;876784;500;26878;0;41
876785;908871;500;32087;1;52
908872;930278;490;21407;;38
930279;957510;490;27232;1;48
957511;979039;480;21529;;35
979040;1006904;480;27865;1;45
1006905;1035106;470;28202;;32
1035107;1073324;470;38218;1;41
1073325;1095699;460;22375;;29
1095700;1125404;460;29705;1;38
1125405;1147459;450;22055;;26
1147460;1178014;450;30555;1;35
1178015;1197811;440;19797;;24
1197812;1225356;440;27545;1;31
1225357;1245602;430;20246;;21
1245603;1275861;430;30259;1;28
1275862;1296374;420;20513;;19
1296375;1325720;420;29346;1;25
1325721;1344152;410;18432;;16
1344153;1372208;410;28056;1;22
1372209;1387294;400;15086;;14
1387295;1410289;400;22995;1;19
1410290;1423829;390;13540;;13
1423830;1444539;390;20710;1;17
1444540;1457446;380;12907;;11
1457447;1477095;380;19649;1;15
1477096;1488530;370;11435;;10
1488531;1506689;370;18159;1;13
1506690;1518945;360;12256;;8
1518946;1538227;360;19282;1;11
1538228;1548352;350;10125;;7
1548353;1564718;350;16366;1;9
1564719;1572567;340;7849;;6
1572568;1584945;340;12378;1;7
1584946;1591819;330;6874;;5
1591820;1602180;330;10361;1;6
1602181;1609572;320;7392;;4
1609573;1620880;320;11308;1;5
1620881;1625999;310;5119;;3
1626000;1634536;310;8537;1;4
1634537;1640827;300;6291;;3
1640828;1649888;300;9061;1;3
1649889;1654107;290;4219;;2
1654108;1659913;290;5806;1;2
1659914;1662358;280;2445;;2
1662359;1665801;280;3443;1;2
1665802;1669038;270;3237;;1
1669039;1673681;270;4643;1;2
1673682;1675336;260;1655;;1
1675337;1677607;260;2271;1;1
1677608;1679068;250;1461;;1
1679069;1681145;250;2077;1;1
1681146;1682924;240;1779;;1
1682925;1685217;240;2293;1;1
1685218;1686643;230;1426;;1
1686644;1688534;230;1891;1;1
1688535;1689529;220;995;;1_
1689530;1690889;220;1360;1;1_
1690890;1691960;210;1071;;1_
1691961;1693356;210;1396;1;1_
1693357;1695812;200;2456;;Ñ
1695813;1698521;200;2709;1;Ñ