from;to;score;delta;sex;Percentile (w respect to sex)
1;9835;800;9835;0;99
9836;14677;800;4842;1;99
14678;17098;790;2421;0;98
17099;18505;790;1407;1;99
18506;20061;780;1556;0;98
20062;21039;780;978;1;99
21040;29813;770;8774;0;97
29814;34388;770;4575;1;99
34389;39920;760;5532;0;96
39921;43173;760;3253;1;98
43174;49139;750;5966;0;96
49140;52552;750;3413;1;98
52553;62012;740;9460;0;94
62013;67507;740;5495;1;97
67508;72946;730;5439;0;94
72947;76446;730;3500;1;97
76447;83480;720;7034;0;93
83481;88083;720;4603;1;96
88084;98606;710;10523;0;92
98607;105470;710;6864;1;96
105471;116311;700;10841;0;90
116312;123781;700;7470;1;95
123782;135424;690;11643;0;89
135425;142898;690;7474;1;94
142899;157721;680;14823;0;87
157722;168418;680;10697;1;93
168419;184361;670;15943;0;85
184362;196238;670;11877;1;91
196239;211580;660;15342;0;83
211581;223551;660;11971;1;90
223552;238657;650;15106;0;81
238658;250958;650;12301;1;89
250959;266624;640;15666;0;79
266625;279630;640;13006;1;87
279631;295558;630;15928;0;77
295559;309224;630;13666;1;86
309225;331266;620;22042;0;74
331267;350785;620;19519;1;83
350786;368310;610;17525;0;72
368311;384406;610;16096;1;82
384407;404504;600;20098;0;69
404505;422949;600;18445;1;80
422950;441368;590;18419;0;67
441369;459201;590;17833;1;78
459202;477218;580;18017;0;65
477219;495376;580;18158;1;76
495377;520638;570;25262;0;61
520639;547455;570;26817;1;73
547456;570714;560;23259;0;58
570715;596069;560;25355;1;70
596070;617783;550;21714;0;56
617784;641072;550;23289;1;67
641073;662073;540;21001;0;53
662074;685836;540;23763;1;64
685837;713486;530;27650;0;49
713487;746603;530;33117;1;61
746604;769351;520;22748;0;46
769352;796101;520;26750;1;58
796102;819632;510;23531;0;43
819633;847084;510;27452;1;55
847085;875063;500;27979;0;40
875064;911537;500;36474;1;50
911538;934510;490;22973;0;37
934511;963710;490;29200;1;47
963711;982318;480;18608;0;35
982319;1006574;480;24256;1;44
1006575;1034133;470;27559;0;31
1034134;1071601;470;37468;1;40
1071602;1093910;460;22309;0;28
1093911;1123991;460;30081;1;37
1123992;1144423;450;20432;0;26
1144424;1172333;450;27910;1;34
1172334;1192471;440;20138;0;23
1192472;1221336;440;28865;1;30
1221337;1241591;430;20255;0;20
1241592;1271026;430;29435;1;27
1271027;1290826;420;19800;0;18
1290827;1319149;420;28323;1;24
1319150;1335334;410;16185;0;16
1335335;1359800;410;24466;1;21
1359801;1378174;400;18374;0;14
1378175;1407728;400;29554;1;18
1407729;1419736;390;12008;0;12
1419737;1438280;390;18544;1;16
1438281;1450052;380;11772;0;10
1450053;1468255;380;18203;1;14
1468256;1479453;370;11198;0;9
1479454;1496822;370;17369;1;12
1496823;1507607;360;10785;0;8
1507608;1524390;360;16783;1;10
1524391;1534005;350;9615;0;6
1534006;1548899;350;14894;1;8
1548900;1556088;340;7189;0;6
1556089;1567660;340;11572;1;7
1567661;1574714;330;7054;0;5
1574715;1585548;330;10834;1;6
1585549;1592126;320;6578;0;4
1592127;1601659;320;9533;1;5
1601660;1606983;310;5324;0;3
1606984;1614741;310;7758;1;4
1614742;1619603;300;4862;0;2
1619604;1626931;300;7328;1;3
1626932;1630003;290;3072;0;2
1630004;1634592;290;4589;1;2
1634593;1637808;280;3216;0;2
1637809;1642197;280;4389;1;2
1642198;1644933;270;2736;0;1
1644934;1648762;270;3829;1;1
1648763;1650023;260;1261;0;1
1650024;1651988;260;1965;1;1
1651989;1653847;250;1859;0;1
1653848;1656215;250;2368;1;1
1656216;1657410;240;1195;0;1
1657411;1659032;240;1622;1;1
1659033;1660787;230;1755;0;1
1660788;1662902;230;2115;1;1
1662903;1663454;220;552;0;1-
1663455;1664260;220;806;1;1-
1664261;1665430;210;1170;0;1-
1665431;1666863;210;1433;1;1_
1666864;1669522;200;2659;0;Ñ
1669523;1672395;200;2873;1;Ñ